date,vix
2025-06-01,17.88
2025-06-02,18.36
2025-06-03,17.69
2025-06-04,17.61
2025-06-05,18.48
2025-06-06,16.77
2025-06-09,17.16
2025-06-10,16.95
2025-06-11,17.26
2025-06-12,18.02
2025-06-13,20.82
2025-06-14,19.45
2025-06-15,18.90
2025-06-16,19.11
2025-06-17,21.60
2025-06-18,20.14
2025-06-19,22.17
2025-06-20,20.62
2025-06-21,20.15
2025-06-22,19.98
2025-06-23,19.83
2025-06-24,17.48
2025-06-25,16.76
2025-06-26,16.59
2025-06-27,16.32
2025-06-28,16.45
2025-06-29,16.58
2025-06-30,16.73
2025-07-01,16.83
